# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 1D2    np 3D2    np 3D1    np 3D3     np E1    np 1F3    np 3F3    np 3F2    np 3F4     np E2
116.00   47.4179   79.2195   -2.6780  -11.1231  -16.3224   52.0928    3.4065   -3.4997    1.7738   18.8273  -16.3057   -0.9832   -2.6780   -2.4888   -1.8936    0.8761    0.2983   -3.4997
117.00   47.3393   78.9407   -2.6559  -11.1364  -16.4058   52.1187    3.4250   -3.5179    1.7792   18.9305  -16.4479   -0.9961   -2.6559   -2.5029   -1.9091    0.8829    0.3018   -3.5179
118.00   47.2604   78.6637   -2.6337  -11.1494  -16.4889   52.1416    3.4434   -3.5359    1.7845   19.0323  -16.5898   -1.0092   -2.6337   -2.5169   -1.9245    0.8896    0.3053   -3.5359
119.00   47.1812   78.3883   -2.6113  -11.1619  -16.5715   52.1618    3.4616   -3.5537    1.7897   19.1327  -16.7315   -1.0223   -2.6113   -2.5307   -1.9399    0.8963    0.3087   -3.5537
120.00   47.1016   78.1147   -2.5888  -11.1741  -16.6537   52.1791    3.4795   -3.5714    1.7948   19.2317  -16.8729   -1.0354   -2.5888   -2.5443   -1.9551    0.9030    0.3122   -3.5714
121.00   47.0217   77.8427   -2.5662  -11.1858  -16.7354   52.1937    3.4972   -3.5888    1.7997   19.3294  -17.0141   -1.0487   -2.5662   -2.5578   -1.9703    0.9096    0.3157   -3.5888
122.00   46.9415   77.5723   -2.5434  -11.1972  -16.8167   52.2057    3.5147   -3.6061    1.8046   19.4256  -17.1551   -1.0620   -2.5434   -2.5711   -1.9853    0.9161    0.3191   -3.6061
123.00   46.8610   77.3035   -2.5205  -11.2082  -16.8977   52.2150    3.5320   -3.6231    1.8094   19.5204  -17.2958   -1.0753   -2.5205   -2.5843   -2.0003    0.9226    0.3226   -3.6231
124.00   46.7802   77.0363   -2.4975  -11.2188  -16.9782   52.2217    3.5490   -3.6400    1.8141   19.6139  -17.4364   -1.0887   -2.4975   -2.5973   -2.0152    0.9290    0.3260   -3.6400
125.00   46.6990   76.7706   -2.4744  -11.2290  -17.0583   52.2259    3.5659   -3.6567    1.8186   19.7060  -17.5767   -1.1022   -2.4744   -2.6102   -2.0300    0.9354    0.3295   -3.6567
126.00   46.6176   76.5064   -2.4511  -11.2389  -17.1380   52.2277    3.5825   -3.6731    1.8231   19.7968  -17.7167   -1.1157   -2.4511   -2.6229   -2.0447    0.9418    0.3329   -3.6731
127.00   46.5358   76.2436   -2.4278  -11.2483  -17.2173   52.2271    3.5989   -3.6894    1.8275   19.8861  -17.8566   -1.1293   -2.4278   -2.6354   -2.0594    0.9480    0.3363   -3.6894
128.00   46.4538   75.9824   -2.4043  -11.2575  -17.2961   52.2241    3.6151   -3.7055    1.8318   19.9742  -17.9962   -1.1429   -2.4043   -2.6478   -2.0739    0.9543    0.3397   -3.7055
129.00   46.3714   75.7225   -2.3808  -11.2662  -17.3746   52.2188    3.6311   -3.7214    1.8360   20.0608  -18.1356   -1.1566   -2.3808   -2.6600   -2.0884    0.9604    0.3431   -3.7214
