# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
129.00   46.3714   75.7225   -2.3808  -11.2662  -17.3746   52.2188    3.6311   -3.7214  -18.1356  0.9604 
130.00   46.2887   75.4641   -2.3571  -11.2746  -17.4527   52.2112    3.6469   -3.7371  -18.2748  0.9666 
131.00   46.2057   75.2070   -2.3333  -11.2827  -17.5304   52.2014    3.6625   -3.7527  -18.4137  0.9726 
132.00   46.1225   74.9513   -2.3095  -11.2904  -17.6077   52.1894    3.6779   -3.7680  -18.5524  0.9786 
133.00   46.0389   74.6969   -2.2855  -11.2977  -17.6846   52.1753    3.6930   -3.7832  -18.6909  0.9846 
134.00   45.9550   74.4438   -2.2615  -11.3048  -17.7612   52.1590    3.7080   -3.7981  -18.8292  0.9905 
135.00   45.8709   74.1920   -2.2373  -11.3114  -17.8373   52.1408    3.7227   -3.8129  -18.9673  0.9964 
136.00   45.7864   73.9415   -2.2131  -11.3178  -17.9130   52.1205    3.7373   -3.8275  -19.1051  1.0022 
137.00   45.7017   73.6922   -2.1888  -11.3238  -17.9884   52.0982    3.7516   -3.8420  -19.2427  1.0079 
138.00   45.6166   73.4441   -2.1644  -11.3295  -18.0634   52.0740    3.7658   -3.8562  -19.3801  1.0136 
139.00   45.5313   73.1972   -2.1399  -11.3348  -18.1380   52.0479    3.7797   -3.8703  -19.5173  1.0193 
140.00   45.4457   72.9515   -2.1154  -11.3399  -18.2122   52.0199    3.7934   -3.8841  -19.6543  1.0249 
141.00   45.3598   72.7069   -2.0908  -11.3446  -18.2861   51.9901    3.8070   -3.8978  -19.7910  1.0304 
142.00   45.2736   72.4635   -2.0661  -11.3490  -18.3595   51.9585    3.8203   -3.9113  -19.9275  1.0359 
143.00   45.1871   72.2212   -2.0413  -11.3531  -18.4326   51.9251    3.8334   -3.9247  -20.0638  1.0413 
144.00   45.1004   71.9800   -2.0165  -11.3568  -18.5053   51.8900    3.8464   -3.9378  -20.1999  1.0467 
