# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
  124       46.449      76.9078     -2.50889     -11.2903     -17.0822      52.6132      3.58176     -3.66684     -17.5667     0.934808
  125      46.3688      76.6418     -2.48552     -11.3006     -17.1628      52.6151      3.59869      -3.6836     -17.7081     0.941209
  126      46.2884      76.3773     -2.46204     -11.3105      -17.243      52.6146      3.61542     -3.70016     -17.8492     0.947558
  127      46.2076      76.1143     -2.43845       -11.32     -17.3228      52.6117      3.63192     -3.71654     -17.9901     0.953854
  128      46.1266      75.8527     -2.41475     -11.3292     -17.4021      52.6064      3.64822     -3.73272     -18.1307     0.960096
  129      46.0452      75.5926     -2.39095      -11.338     -17.4811      52.5988       3.6643      -3.7487     -18.2711     0.966286
  130      45.9635      75.3338     -2.36704     -11.3465     -17.5597       52.589      3.68017      -3.7645     -18.4114     0.972423
  131      45.8815      75.0765     -2.34303     -11.3545     -17.6379      52.5769      3.69582     -3.78011     -18.5513     0.978506
  132      45.7992      74.8205     -2.31893     -11.3623     -17.7156      52.5627      3.71127     -3.79554     -18.6911     0.984537
  133      45.7166      74.5658     -2.29473     -11.3697      -17.793      52.5463       3.7265     -3.81077     -18.8306     0.990514
  134      45.6337      74.3124     -2.27044     -11.3767       -17.87      52.5279      3.74153     -3.82582       -18.97     0.996439
  135      45.5505      74.0603     -2.24606     -11.3834     -17.9466      52.5074      3.75635     -3.84068      -19.109      1.00231
  136       45.467      73.8095     -2.22159     -11.3898     -18.0229      52.4849      3.77096     -3.85535     -19.2479      1.00813
  137      45.3831        73.56     -2.19704     -11.3958     -18.0987      52.4605      3.78536     -3.86984     -19.3866      1.01389
  138       45.299      73.3116     -2.17241     -11.4015     -18.1742      52.4341      3.79957     -3.88415      -19.525      1.01961
  139      45.2147      73.0645      -2.1477     -11.4069     -18.2492      52.4058      3.81356     -3.89827     -19.6632      1.02527
  140        45.13      72.8185     -2.12291      -11.412     -18.3239      52.3757      3.82735     -3.91221     -19.8012      1.03087
  141       45.045      72.5737     -2.09805     -11.4167     -18.3982      52.3437      3.84094     -3.92597      -19.939      1.03643
  142      44.9597        72.33     -2.07311     -11.4211     -18.4722        52.31      3.85433     -3.93955     -20.0765      1.04193
  143      44.8742      72.0875      -2.0481     -11.4252     -18.5457      52.2745      3.86752     -3.95294     -20.2139      1.04737
  144      44.7883      71.8461     -2.02303      -11.429     -18.6189      52.2373      3.88051     -3.96615      -20.351      1.05277
  145      44.7022      71.6057     -1.99789     -11.4324     -18.6917      52.1984      3.89329     -3.97919     -20.4879      1.05811
  146      44.6158      71.3664     -1.97268     -11.4356     -18.7641      52.1578      3.90588     -3.99205     -20.6246       1.0634
  147      44.5291      71.1282     -1.94742     -11.4384     -18.8362      52.1157      3.91827     -4.00472      -20.761      1.06863
  148      44.4421       70.891     -1.92209      -11.441     -18.9079      52.0719      3.93047     -4.01722     -20.8973      1.07382
  149      44.3549      70.6548      -1.8967     -11.4432     -18.9792      52.0265      3.94247     -4.02954     -21.0333      1.07895
  150      44.2674      70.4196     -1.87126     -11.4451     -19.0501      51.9796      3.95427     -4.04169     -21.1691      1.08402
  151      44.1795      70.1854     -1.84576     -11.4468     -19.1207      51.9312      3.96588     -4.05365     -21.3047      1.08905
  152      44.0915      69.9522     -1.82022     -11.4481     -19.1909      51.8813       3.9773     -4.06545       -21.44      1.09402
  153      44.0031      69.7199     -1.79462     -11.4492     -19.2607        51.83      3.98852     -4.07706     -21.5752      1.09894
  154      43.9145      69.4886     -1.76897     -11.4499     -19.3301      51.7772      3.99955     -4.08851     -21.7101      1.10381
  155      43.8256      69.2581     -1.74327     -11.4504     -19.3992       51.723      4.01039     -4.09977     -21.8448      1.10862
  156      43.7364      69.0286     -1.71753     -11.4506     -19.4679      51.6674      4.02104     -4.11087     -21.9793      1.11338
  157       43.647         68.8     -1.69174     -11.4505     -19.5363      51.6105       4.0315     -4.12179     -22.1135      1.11809
  158      43.5573      68.5722     -1.66591     -11.4501     -19.6042      51.5522      4.04177     -4.13253     -22.2476      1.12275
  159      43.4673      68.3453     -1.64004     -11.4494     -19.6718      51.4926      4.05185     -4.14311     -22.3814      1.12735
  160      43.3771      68.1193     -1.61414     -11.4485     -19.7391      51.4317      4.06174     -4.15351      -22.515       1.1319
  161      43.2866      67.8941     -1.58819     -11.4472     -19.8059      51.3695      4.07145     -4.16374     -22.6483       1.1364
  162      43.1959      67.6697     -1.56221     -11.4457     -19.8724      51.3061      4.08098      -4.1738     -22.7815      1.14085
  163      43.1049      67.4462     -1.53619     -11.4439     -19.9385      51.2415      4.09031     -4.18369     -22.9144      1.14524
  164      43.0136      67.2234     -1.51014     -11.4419     -20.0043      51.1756      4.09947     -4.19341     -23.0471      1.14959
  165      42.9221      67.0014     -1.48406     -11.4395     -20.0696      51.1086      4.10843     -4.20296     -23.1796      1.15388
  166      42.8303      66.7802     -1.45795     -11.4369     -20.1346      51.0404      4.11722     -4.21235     -23.3118      1.15812
